中文名,学名,保护级别 State Priority Levels
藏马鸡,Crossoptilon crossoptilon,II
蓝马鸡,Crossoptilon aurtun,II
褐马鸡,Crossoptilon mantchuricum,Ⅰ
黑鹇,Lophura leucomelana,II
白鹇,Lophura nycthemera,II
蓝鹇,Lophura swinhoii,Ⅰ
原鸡,Gallus gallus,II
勺鸡,Pucrasia macrolopha,II
黑颈长尾雉,Syrmaticus humiae,Ⅰ
白冠长尾雉,Syrmaticus reevesii,II
白颈长尾雉,Syrmaticus ewllioti,Ⅰ
黑长尾雉,Syrmaticus mikado,Ⅰ
锦鸡（所有种）,Chrysolophus spp.,II
白腹锦鸡,Chrysolophus amherstiae,
红腹锦鸡,Chrysolophus pictus,
孔雀雉,Polyplectron bicalcaratum,Ⅰ
绿孔雀,Pavo muticus,Ⅰ
灰鹤,Grus grus,II
黑颈鹤,Grus nigricollis,Ⅰ
白头鹤,Grus monacha,Ⅰ
沙丘鹤,Grus canadensis,II
丹顶鹤,Grus japonensis,Ⅰ
白枕鹤,Grus vipio,II
白鹤,Grus leucogeranus,Ⅰ
赤颈鹤,Grus antigone,Ⅰ
蓑羽鹤,Anthropoides virgo,II
长脚秧鸡,Crex crex,II
姬田鸡,Porzana parva,II
棕背田鸡,Porzana bicolor,II
花田鸡,Coturnicops noveboracensis,II
鸨（所有种）,Otis spp.,Ⅰ
大鸨,Otis tarda,
波斑鸨,Chlamydotis macqueenii,
小鸨,Tetrax tetrax,
铜翅水雉,Metopidius indicus,II
小勺鹬,Numenius borealis,II
小青脚鹬,Tringa guttifer,II
灰燕鴴,Glareola lactea,II
遗鸥,Larus relictus,Ⅰ
小鸥,Larus minutus,II
黑浮鸥,Chlidonias niger,II
黄嘴河燕鸥,Sterna aurantia,II
黑嘴端凤头燕鸥,Thalasseus zimmermanni,II
黑腹沙鸡,Pterocles orientalis,II
绿鸠（所有种）,Treron spp.,II
橙胸绿鸠,Treron bicinctus,
灰头绿鸠,Treron pompadora,
厚嘴绿鸠,Treron curvirostra,
黄脚绿鸠,Treron phoenicopterus,
针尾绿鸠,Treron apicauda,
楔尾绿鸠,Treron sphenurus,
红翅绿鸠,Treron sieboldii,
红顶绿鸠,Treron formosae,
黑颏果鸠,Ptilinopus leclancheri,II
皇鸠（所有种）,Ducula spp.,II
绿皇鸠,Ducula aenea,
山皇鸠,Ducula badia,
斑尾林鸽,Columba palumbus,II
鹃鸠（所有种）,Macropygia spp.,II
小鹃鸠,Macropygia ruficeps,
斑尾鹃鸠,Macropygia unchall,
菲律宾鹃鸠,Macropygia tenuirostris,
鹦鹉科（所有种）,Psittacidae,II
短尾鹦鹉,Loriculus vernalis,
小葵花鹦鹉,Cacatua sulphurea,
蓝腰鹦鹉,Psittinus cyanurus,
