中文名,学名,临危等级 Red List Status
髯海豹,Erignathus barbatus,LC 
大斑灵猫,Viverra megaspila,EN
野猪,Sus scrofa,LC 
大灵猫,Viverra zibetha,VU
野骆驼,Camelus ferus,CR
藏原羚,Procapra picticaudata,NT 
普氏原羚,Procapra przewalskii,CR
威氏小鼷鹿,Tragulus williamsoni,CR
塔里木鹅喉羚,Gazella yarkandensis,VU
藏羚,Pantholops hodgsonii,NT 
安徽麝,Moschus anhuiensis,CR
高鼻羚羊,Saiga tatarica,EW  
林麝,Moschus berezovskii,CR
秦岭羚牛,Budorcas bedfordi,VU
高山麝,Moschus chrysogaster sifanicus,CR
四川羚牛,Budorcas tibetanus,VU
黑麝,Moschus fuscus,CR
不丹羚牛,Budorcas whitei,VU
白腹麝(喜马拉雅麝),Moschus leucogaster,EN
赤斑羚,Naemorhedus baileyi,EN
原麝,Moschus moschiferus,CR
长尾斑羚,Naemorhedus caudatus,CR
缅甸斑羚,Naemorhedus evansi,DD 
獐,Hydropotes inermis,VU
喜马拉雅斑羚,Naemorhedus goral,EN
毛冠鹿,Elaphodus cephalophus,VU
中华斑羚,Naemorhedus griseus,VU
黑麂,Muntiacus crinifrons,EN
塔尔羊,Hemitragus jemlahicus,CR
林麂,Muntiacus feae,EN
北山羊,Capra sibirica,NT  
贡山麂,Muntiacus gongshanensis,CR
岩羊,Pseudois nayaur,LC  
海南麂,Muntiacus nigripes,EN
矮岩羊,Pseudois schaeferi,CR
叶麂,Muntiacus putaoensis,EN
戈壁盘羊,Ovis darwini,CR
小麂,Muntiacus reevesi,VU
西藏盘羊,Ovis hodgsoni,NT  
赤麂,Muntiacus vaginalis,NT
雅布赖盘羊,Ovis jubata,CR
豚鹿,Axis porcinus,CR
天山盘羊,Ovis karelini,EN
东方坡鹿,Panolia siamensis,CR
帕米尔盘羊,Ovis polii,VU
马来水鹿,Cervus equinus,NT
中华鬣羚,Capricornis milneedwardsii,VU
东北梅花鹿,Cervus hortulorum,CR
台湾鬣羚,Capricornis swinhoei,LC 
华南梅花鹿,Cervus pseudaxis,CR
喜马拉雅鬣羚,Capricornis thar,EN
四川梅花鹿,Cervus sichuanicus,CR
台湾梅花鹿,Cervus taiouanus,CR
北太平洋露脊鲸,Eubalaena japonica,EN
阿拉善马鹿,Cervus alashanicus,EN
四川马鹿,Cervus macneilli,CR
灰鲸,Eschrichtius robustus,LC 
西藏马鹿,Cervus wallichii,EN
东北马鹿,Cervus xanthopygus,EN
小须鲸,Balaenoptera acutorostrata,LC 
塔里木马鹿,Cervus yarkandensis,EN
塞鲸,Balaenoptera borealis,EN
白唇鹿,Przewalskium albirostris,EN
布氏鲸,Balaenoptera edeni,DD 
麋鹿,Elaphurus davidianus,CR
蓝鲸,Balaenoptera musculus,EN
狍,Capreolus pygargus,NT
大村鲸,Balaenoptera omurai,DD 
欧亚驼鹿,Alces alces,CR
长须鲸,Balaenoptera physalus,EN
美洲驼鹿,Alces americanus,CR
大翅鲸,Megaptera novaeangliae,LC  
驯鹿,Rangifer tarandus,CR
白鱀豚,Lipotes vexillifer,CR
大额牛,Bos frontalis,CR
印度野牛,Bos gaurus,CR
抹香鲸,Physeter macrocephalus,DD  
爪哇野牛,Bos javanicus,CR
小抹香鲸,Kogia breviceps,DD
野牦牛,Bos mutus,VU
侏抹香鲸,Kogia sima,DD 
野水牛,Bubalus arnee,EW 
蒙原羚,Procapra gutturosa,CR
鹅喙鲸,Ziphius cavirostris,LC
柏氏中喙鲸,Mesoplodon densirostris,DD
阿拉善黄鼠,Spermophilus alashanicus,LC 
银杏齿中喙鲸,Mesoplodon ginkgodens,DD
短尾黄鼠,Spermophilus brevicauda,LC 
小中喙鲸,Mesoplodon peruvianus,DD
达乌尔黄鼠,Spermophilus dauricus,LC 
贝氏喙鲸,Berardius bairdii,DD
淡尾黄鼠,Spermophilus pallidicauda,LC 
朗氏喙鲸,Indopacetus pacificus,DD
长尾黄鼠,Spermophilus parryii,LC 
