中文名,学名,临危等级 Red List Status
花冠皱盔犀鸟,Aceros undulatus,EN
银胸丝冠鸟,Serilophus lunatus,NT 
双辫八色鸫,Pitta phayrei,VU
大拟啄木鸟,Megalaima virens,LC
蓝枕八色鸫,Pitta nipalensis,VU
绿拟啄木鸟,Megalaima lineate,DD
蓝背八色鸫,Pitta soror,EN
黄纹拟啄木鸟,Megalaima faiostricta,NT
栗头八色鸫,Pitta oatesi,VU
金喉拟啄木鸟,Megalaima franklinii,DD
蓝八色鸫,Pitta cyanea,DD 
台湾拟啄木鸟,Megalaima nuchalis,LC
绿胸八色鸫,Pitta sordida,VU
黑眉拟啄木鸟,Megalaima oorti,LC
印度八色鸫,Pitta brachyura,DD 
蓝喉拟啄木鸟,Megalaima asiatica,DD
仙八色鸫,Pitta nympha,VU
蓝耳拟啄木鸟,Megalaima australis,DD
蓝翅八色鸫,Pitta moluccensis,DD 
赤胸拟啄木鸟,Megalaima haemacephala,DD
歌百灵,Mirafra javanica,VU
草原百灵,Melanocorypha calandra,NT
粉红山椒鸟,Pericrocotus roseus,LC 
二斑百灵,Melanocorypha bimaculata,LC
小灰山椒鸟,Pericrocotus cantonensis,LC 
长嘴百灵,Melanocorypha maxima,LC
灰山椒鸟,Pericrocotus divaricatus,LC 
蒙古百灵,Melanocorypha mongolica,VU
长尾山椒鸟,Pericrocotus ethologus,LC  
白翅百灵,Melanocorypha leucoptera,LC
短嘴山椒鸟,Pericrocotus brevirostris,LC 
黑百灵,Melanocorypha yeltoniensis,LC
赤红山椒鸟,Pericrocotus flammeus,LC 
大短趾百灵,Calandrella brachydactyla,LC
灰喉山椒鸟,Pericrocotus solaris,LC 
细嘴短趾百灵,Calandrella acutirostris,LC
褐背鹟贝鸟,Hemipus picatus,DD 
短趾百灵,Calandrella cheleensis,LC
凤头百灵,Galerida cristata,LC
凤头雀嘴鹎,Spizixos canifrons,LC 
云雀,Alauda arvensis,LC
领雀嘴鹎,Spizixos semitorques,LC 
小云雀,Alauda gulgula,LC
纵纹绿鹎,Pycnonotus striatus,LC 
角百灵,Eremophila alpestris,LC
黑头鹎,Pycnonotus atriceps,LC 
黑冠黄鹎,Pycnonotus melanicterus,LC 
崖沙燕,Riparia riparia,LC
台湾鹎,Pycnonotus taivanus,VU
淡色崖沙燕,Riparia diluta,LC
白颊鹎,Pycnonotus leucogenys,LC 
褐喉沙燕,Riparia paludicola,LC
红耳鹎,Pycnonotus jocosus,LC 
岩燕,Ptyonoprogne rupestris,LC
黄臀鹎,Pycnonotus xanthorrhous,LC 
纯色岩燕,Ptyonoprogne concolor,NT
白头鹎,Pycnonotus sinensis,LC 
家燕,Hirundo rustica,LC
黑喉红臀鹎,Pycnonotus cafer,LC 
洋燕,Hirundo tahitica,LC
白喉红臀鹎,Pycnonotus aurigaster,LC 
金腰燕,Cecropis daurica,LC
纹喉鹎,Pycnonotus finlaysoni,LC 
斑腰燕,Cecropis striolata,LC
黄绿鹎,Pycnonotus flavescens,NT 
线尾燕,Hirundo smithii,DD
黄腹冠鹎,Alophoixus flaveolus,LC 
毛脚燕,Delichon urbicum,LC
白喉冠鹎,Alophoixus pallidus,LC 
烟腹毛脚燕,Delichon dasypus,LC
灰眼短脚鹎,Iole propinqua,LC 
黑喉毛脚燕,Delichon nipalense,LC
栗耳短脚鹎,Microscelis amaurotis,LC 
灰短脚鹎,Hemixos flavala,LC 
山鹡鸰,Dendronanthus indicus,LC
栗背短脚鹎,Hemixos castanonotus,LC 
白鹡鸰,Motacilla alba,LC
绿翅短脚鹎,Hypsipetes mcclellandii,LC 
日本鹡鸰,Motacilla grandis,LC
黑短脚鹎,Hypsipetes leucocephalus,LC 
黄头鹡鸰,Motacilla citreola,LC
黄鹡鸰,Motacilla flava,LC
黑翅雀鹎,Aegithina tiphia,LC 
灰鹡鸰,Motacilla cinerea,LC
大绿雀鹎,Aegithina lafresnayei,LC 
东方田鹨,Anthus rufulus,LC
田鹨,Anthus richardi,LC
蓝翅叶鹎,Chloropsis cochinchinensis,LC 
平原鹨,Anthus campestris,LC
金额叶鹎,Chloropsis aurifrons,NT 
布氏鹨,Anthus godlewskii,LC
橙腹叶鹎,Chloropsis hardwickii,LC 
林鹨,Anthus trivialis,LC
树鹨,Anthus hodgsoni,LC
和平鸟,Irena puella,NT 
北鹨,Anthus gustavi,LC
草地鹨,Anthus pratensis,LC
太平鸟,Bombycilla garrulus,LC 
红喉鹨,Anthus cervinus,LC
小太平鸟,Bombycilla japonica,LC 
粉红胸鹨,Anthus roseatus,LC
水鹨,Anthus spinoletta,LC
虎纹伯劳,Lanius tigrinus,LC 
黄腹鹨,Anthus rubescens,LC
牛头伯劳,Lanius bucephalus,LC 
山鹨,Anthus sylvanus,LC
红背伯劳,Lanius collurio,LC 
荒漠伯劳,Lanius isabellinus,LC 
大鹃贝鸟,Coracina macei,LC
红尾伯劳,Lanius cristatus,LC 
暗灰鹃贝鸟,Coracina melaschistos,LC
栗背伯劳,Lanius collurioides,NT 
棕背伯劳,Lanius schach,LC
松鸦,Garrulus glandarius,LC 
灰背伯劳,Lanius tephronotus,LC
灰喜鹊,Cyanopica cyanus,LC 
灰伯劳,Lanius excubitor,LC
台湾蓝鹊,Urocissa caerulea,LC 
南灰伯劳,Lanius meridionalis,LC
黄嘴蓝鹊,Urocissa flavirostris,LC 
黑额伯劳,Lanius minor,LC
红嘴蓝鹊,Urocissa erythrorhyncha,LC 
楔尾伯劳,Lanius sphenocercus,LC
白翅蓝鹊,Urocissa whiteheadi,NT 
黄胸绿鹊,Cissa hypoleuca,NT 
钩嘴林贝鸟,Tephrodornis gularis,LC
蓝绿鹊,Cissa chinensis,NT 
棕腹树鹊,Dendrocitta vagabunda,LC 
金黄鹂,Oriolus oriolus,LC
灰树鹊,Dendrocitta formosae,LC 
黑枕黄鹂,Oriolus chinensis,LC
黑额树鹊,Dendrocitta frontalis,LC 
细嘴黄鹂,Oriolus tenuirostris,DD
塔尾树鹊,Temnurus temnurus,NT 
黑头黄鹂,Oriolus xanthornus,DD
喜鹊,Pica pica,LC 
朱鹂,Oriolus traillii,NT
黑尾地鸦,Podoces hendersoni,VU
鹊鹂,Oriolus mellianus,EN
白尾地鸦,Podoces biddulphi,VU
星鸦,Nucifraga caryocatactes,LC 
黑卷尾,Dicrurus macrocercus,LC
红嘴山鸦,Pyrrhocorax pyrrhocorax,LC 
灰卷尾,Dicrurus leucophaeus,LC
黄嘴山鸦,Pyrrhocorax graculus,LC 
鸦嘴卷尾,Dicrurus annectans,LC
寒鸦,Corvus monedula,LC 
古铜色卷尾,Dicrurus aeneus,LC
达乌里寒鸦,Corvus dauuricus,LC 
发冠卷尾,Dicrurus hottentottus,LC
家鸦,Corvus splendens,LC 
小盘尾,Dicrurus remifer,NT
秃鼻乌鸦,Corvus frugilegus,LC 
大盘尾,Dicrurus paradiseus,VU
小嘴乌鸦,Corvus corone,LC 
冠小嘴乌鸦,Corvus cornix,LC 
亚洲辉椋鸟,Aplonis panayensis,LC
大嘴乌鸦,Corvus macrorhynchos,LC 
金冠树八哥,Ampeliceps coronatus,DD
白颈鸦,Corvus pectoralis,NT 
鹩哥,Gracula religiosa,VU
渡鸦,Corvus corax,LC 
林八哥,Acridotheres grandis,LC
八哥,Acridotheres cristatellus,LC
河乌,Cinclus cinclus,LC 
爪哇八哥,Acridotheres javanicus,DD
褐河乌,Cinclus pallasii,LC 
白领八哥,Acridotheres albocinctus,LC
家八哥,Acridotheres tristis,LC
鹪鹩,Troglodytes troglodytes,LC 
红嘴椋鸟,Acridotheres burmannicus,LC
斑翅椋鸟,Saroglossa spiloptera,LC
领岩鹨,Prunella collaris,LC 
黑领椋鸟,Gracupica nigricollis,LC
高原岩鹨,Prunella himalayana,LC 
斑椋鸟,Gracupica contra,LC
鸲岩鹨,Prunella rubeculoides,LC 
北椋鸟,Sturnia sturnina,LC
棕胸岩鹨,Prunella strophiata,LC 
紫背椋鸟,Sturnia philippensis,LC
棕眉山岩鹨,Prunella montanella,LC 
灰背椋鸟,Sturnia sinensis,LC
褐岩鹨,Prunella fulvescens,LC 
灰头椋鸟,Sturnia malabarica,LC
黑喉岩鹨,Prunella atrogularis,LC 
黑冠椋鸟,Temenuchus pagodarum,LC
贺兰山岩鹨,Prunella koslowi,VU
粉红椋鸟,Pastor roseus,LC
栗背岩鹨,Prunella immaculata,LC 
丝光椋鸟,Sturnus sericeus,LC
灰椋鸟,Sturnus cineraceus,LC
锈腹短翅鸫,Brachypteryx hyperythra,NT 
紫翅椋鸟,Sturnus vulgaris,LC
栗背短翅鸫,Brachypteryx stellata,LC 
白喉短翅鸫,Brachypteryx leucophrys,LC 
灰燕贝鸟,Artamus fuscus,LC
蓝短翅鸫,Brachypteryx montana,LC 
欧亚鸲,Erithacus rubecula,LC 
北噪鸦,Perisoreus infaustus,NT
日本歌鸲,Erithacus akahige,LC 
黑头噪鸦,Perisoreus internigrans,VU
琉球歌鸲,Erithacus komadori,DD 
红尾歌鸲,Luscinia sibilans,LC
白背矶鸫,Monticola saxatilis,LC 
新疆歌鸲,Luscinia megarhynchos,LC
蓝头矶鸫,Monticola cinclorhynchus,LC 
红喉歌鸲,Luscinia calliope,LC
白喉矶鸫,Monticola gularis,LC 
黑胸歌鸲,Luscinia pectoralis,NT
栗腹矶鸫,Monticola rufiventris,LC 
蓝喉歌鸲,Luscinia svecica,LC
蓝矶鸫,Monticola solitarius,LC 
棕头歌鸲,Luscinia ruficeps,EN
台湾紫啸鸫,Myophonus insularis,LC 
黑喉歌鸲,Luscinia obscura,EN
紫啸鸫,Myophonus caeruleus,LC 
金胸歌鸲,Luscinia pectardens,VU
橙头地鸫,Zoothera citrina,LC 
栗腹歌鸲,Luscinia brunnea,LC
白眉地鸫,Zoothera sibirica,LC 
蓝歌鸲,Luscinia cyane,LC
光背地鸫,Zoothera mollissima,LC 
红胁蓝尾鸲,Tarsiger cyanurus,LC
长尾地鸫,Zoothera dixoni,LC 
金色林鸲,Tarsiger chrysaeus,LC
虎斑地鸫,Zoothera dauma,LC 
白眉林鸲,Tarsiger indicus,LC
长嘴地鸫,Zoothera marginata,LC 
棕腹林鸲,Tarsiger hyperythrus,DD
大长嘴地鸫,Zoothera monticola,DD 
台湾林鸲,Tarsiger johnstoniae,LC
灰背鸫,Turdus hortulorum,LC 
鹊鸲,Copsychus saularis,LC
蒂氏鸫,Turdus unicolor,DD 
白腰鹊鸲,Copsychus malabaricus,LC
黑胸鸫,Turdus dissimilis,NT 
棕薮鸲,Cercotrichas galactotes,DD
乌灰鸫,Turdus cardis,LC 
贺兰山红尾鸲,Phoenicurus alaschanicus,EN
白颈鸫,Turdus albocinctus,LC  
红背红尾鸲,Phoenicurus erythronotus,LC
灰翅鸫,Turdus boulboul,LC 
蓝头红尾鸲,Phoenicurus caeruleocephala,LC
乌鸫,Turdus merula,LC 
赭红尾鸲,Phoenicurus ochruros,LC
白头鸫,Turdus poliocephalus,LC 
欧亚红尾鸲,Phoenicurus phoenicurus,LC
灰头鸫,Turdus rubrocanus,LC 
黑喉红尾鸲,Phoenicurus hodgsoni,LC
棕背黑头鸫,Turdus kessleri,LC 
白喉红尾鸲,Phoenicurus schisticeps,LC
褐头鸫,Turdus feae,VU
北红尾鸲,Phoenicurus auroreus,LC
白眉鸫,Turdus obscurus,LC 
红腹红尾鸲,Phoenicurus erythrogastrus,LC
白腹鸫,Turdus pallidus,LC 
蓝额红尾鸲,Phoenicurus frontalis,LC
赤胸鸫,Turdus chrysolaus,LC 
红尾水鸲,Rhyacornis fuliginosa,LC
赤颈鸫,Turdus ruficollis,LC 
白顶溪鸲,Chaimarrornis leucocephalus,LC
黑喉鸫,Turdus atrogularis,LC 
白腹短翅鸲,Hodgsonius phaenicuroides,LC
红尾鸫,Turdus naumanni,LC 
白尾地鸲,Cinclidium leucurum,LC
斑鸫,Turdus eunomus,LC 
蓝额地鸲,Cinclidium frontale,LC
田鸫,Turdus pilaris,LC 
蓝大翅鸲,Grandala coelicolor,LC
白眉歌鸫,Turdus iliacus,LC 
小燕尾,Enicurus scouleri,LC
欧歌鸫,Turdus philomelos,LC 
黑背燕尾,Enicurus immaculatus,LC
宝兴歌鸫,Turdus mupinensis,LC 
灰背燕尾,Enicurus schistaceus,LC
槲鸫,Turdus viscivorus,LC 
斑背燕尾,Enicurus maculates,LC
紫宽嘴鸫,Cochoa purpurea,LC
白喉林鹟,Rhinomyias brunneatus,VU
绿宽嘴鸫,Cochoa viridis,LC
斑鹟,Muscicapa striata,LC 
白喉石即鸟,Saxicola insignis,EN
灰纹鹟,Muscicapa griseisticta,LC 
黑喉石即鸟,Saxicola torquata,LC
乌鹟,Muscicapa sibirica,LC 
白斑黑石即鸟,Saxicola caprata,LC
北灰鹟,Muscicapa dauurica,LC 
黑白林即鸟,Saxicola jerdoni,LC
褐胸鹟,Muscicapa muttui,LC 
灰林即鸟,Saxicola ferreus,LC
棕尾褐鹟,Muscicapa ferruginea,LC 
穗即鸟,Oenanthe oenanthe,LC
白眉姬鹟,Ficedula zanthopygia,LC 
东方斑即鸟,Oenanthe picata,LC
黄眉姬鹟,Ficedula narcissina,LC 
白顶即鸟,Oenanthe pleschanka,LC
绿背姬鹟,Ficedula elisae,NT 
漠即鸟,Oenanthe deserti,LC
鸲姬鹟,Ficedula mugimaki,LC 
沙即鸟,Oenanthe isabellina,LC
锈胸蓝姬鹟,Ficedula hodgsonii,LC 
橙胸姬鹟,Ficedula strophiata,LC
眼纹噪鹛,Garrulax ocellatus,NT 
红喉姬鹟,Ficedula albicilla,LC
斑背噪鹛,Garrulax lunulatus,LC 
红胸姬鹟,Ficedula parva,DD
白点噪鹛,Garrulax bieti,VU
棕胸蓝姬鹟,Ficedula hyperythra,LC
大噪鹛,Garrulax maximus,LC 
白喉姬鹟,Ficedula monileger,LC
灰胁噪鹛,Garrulax caerulatus,LC 
斑姬鹟,Ficedula hypoleuca,DD
棕噪鹛,Garrulax poecilorhynchus,LC 
小斑姬鹟,Ficedula westermanni,LC
斑胸噪鹛,Garrulax merulinus,LC 
白眉蓝姬鹟,Ficedula superciliaris,LC
画眉,Garrulax canorus,NT 
灰蓝姬鹟,Ficedula tricolor,LC
台湾画眉,Garrulax taewanus,NT 
玉头姬鹟,Ficedula sapphira,LC
白颊噪鹛,Garrulax sannio,LC 
白腹蓝姬鹟,Cyanoptila cyanomelana,LC
细纹噪鹛,Garrulax lineatus,LC 
铜蓝鹟,Eumyias thalassinus,LC
纯色噪鹛,Garrulax subunicolor,LC 
大仙鹟,Niltava grandis,LC
蓝翅噪鹛,Garrulax squamatus,LC 
小仙鹟,Niltava macgrigoriae,LC
橙翅噪鹛,Garrulax elliotii,LC 
棕腹大仙鹟,Niltava davidi,LC
杂色噪鹛,Garrulax variegatus,LC 
棕腹仙鹟,Niltava sundara,LC
灰腹噪鹛,Garrulax henrici,LC 
棕腹蓝仙鹟,Niltava vivida,LC
黑顶噪鹛,Garrulax affinis,LC 
白尾蓝仙鹟,Cyornis concretus,LC
台湾噪鹛,Garrulax morrisonianus,LC 
海南蓝仙鹟,Cyornis hainanus,LC
红头噪鹛,Garrulax erythrocephalus,LC 
灰颊仙鹟,Cyornis poliogenys,LC
红翅噪鹛,Garrulax formosus,LC 
纯蓝仙鹟,Cyornis unicolor,LC
红尾噪鹛,Garrulax milnei,LC 
蓝喉仙鹟,Cyornis rubeculoides,LC
灰胸薮鹛,Liocichla omeiensis,VU
山蓝仙鹟,Cyornis banyumas,LC
黑冠薮鹛,Liocichla bugunorum,VU
侏蓝仙鹟,Muscicapella hodgsoni,LC
黄痣薮鹛,Liocichla steerii,LC 
方尾鹟,Culicicapa ceylonensis,LC
红翅薮鹛,Liocichla phoenicea,NT 
棕胸幽鹛,Pellorneum tickelli,NT 
黄腹扇尾鹟,Rhipidura hypoxantha,LC
白腹幽鹛,Pellorneum albiventre,LC 
白喉扇尾鹟,Rhipidura albicollis,LC
棕头幽鹛,Pellorneum ruficeps,LC 
白眉扇尾鹟,Rhipidura aureola,LC
长嘴钩嘴鹛,Pomatorhinus hypoleucos,LC 
斑胸钩嘴鹛,Pomatorhinus erythrocnemis,LC 
黑枕王鹟,Hypothymis azurea,LC
灰头钩嘴鹛,Pomatorhinus schisticeps,DD 
紫寿带,Terpsiphone atrocaudata,NT
棕颈钩嘴鹛,Pomatorhinus ruficollis,LC 
寿带,Terpsiphone paradisi,NT
棕头钩嘴鹛,Pomatorhinus ochraceiceps,LC 
红嘴钩嘴鹛,Pomatorhinus ferruginosus,DD 
黑脸噪鹛,Garrulax perspicillatus,LC
剑嘴鹛,Xiphirhynchus superciliaris,NT 
白喉噪鹛,Garrulax albogularis,LC
长嘴鹩鹛,Rimator malacoptilus,LC 
白冠噪鹛,Garrulax leucolophus,LC
灰岩鹪鹛,Napothera crispifrons,LC 
小黑领噪鹛,Garrulax monileger,LC
短尾鹪鹛,Napothera brevicaudata,LC 
黑领噪鹛,Garrulax pectoralis,LC
纹胸鹪鹛,Napothera epilepidota,LC 
条纹噪鹛,Garrulax striatus,LC
鳞胸鹪鹛,Pnoepyga albiventer,LC 
白颈噪鹛,Garrulax strepitans,LC
尼泊尔鹪鹛,Pnoepyga immaculata,DD 
褐胸噪鹛,Garrulax maesi,LC
小鳞胸鹪鹛,Pnoepyga pusilla,LC 
栗颈噪鹛,Garrulax ruficollis,LC
短尾鹩鹛,Spelaeornis caudatus,NT 
黑喉噪鹛,Garrulax chinensis,LC
斑翅鹩鹛,Spelaeornis troglodytoides,LC 
蓝冠噪鹛,Garrulax courtoisi,CR
丽星鹩鹛,Spelaeornis formosus,NT 
栗臀噪鹛,Garrulax gularis,NT
长尾鹩鹛,Spelaeornis chocolatinus,NT 
山噪鹛,Garrulax davidi,LC
楔嘴鹩鹛,Sphenocichla humei,NT 
黑额山噪鹛,Garrulax sukatschewi,VU
黑颏穗鹛,Stachyris pyrrhops,LC  
灰翅噪鹛,Garrulax cineraceus,LC
弄岗穗鹛,Stachyris nonggangensis,EN
棕颏噪鹛,Garrulax rufogularis,LC
黄喉穗鹛,Stachyris ambigua,LC 
红头穗鹛,Stachyris ruficeps,LC
长尾奇鹛,Heterophasia picaoides,LC 
金头穗鹛,Stachyris chrysaea,LC
栗耳凤鹛,Yuhina castaniceps,LC 
黑头穗鹛,Stachyris nigriceps,LC
白颈凤鹛,Yuhina bakeri,LC 
斑颈穗鹛,Stachyris striolata,LC
黄颈凤鹛,Yuhina flavicollis,LC 
纹胸鹛,Macronous gularis,LC
纹喉凤鹛,Yuhina gularis,LC 
红顶鹛,Timalia pileata,LC
白领凤鹛,Yuhina diademata,LC 
金眼鹛雀,Chrysomma sinense,LC
棕臀凤鹛,Yuhina occipitalis,LC 
宝兴鹛雀,Moupinia poecilotis,LC
褐头凤鹛,Yuhina brunneiceps,LC 
矛纹草鹛,Babax lanceolatus,LC
黑颏凤鹛,Yuhina nigrimenta,LC 
大草鹛,Babax waddelli,NT
白腹凤鹛,Erpornis zantholeuca,LC 
棕草鹛,Babax koslowi,NT
火尾绿鹛,Myzornis pyrrhoura,NT 
银耳相思鸟,Leiothrix argentauris,NT
红嘴相思鸟,Leiothrix lutea,LC
文须雀,Panurus biarmicus,LC 
斑胁姬鹛,Cutia nipalensis,LC
红嘴鸦雀,Conostoma oemodium,LC 
棕腹贝鸟鹛,Pteruthius rufiventer,DD
褐鸦雀,Paradoxornis unicolor,LC 
红翅贝鸟鹛,Pteruthius flaviscapis,LC
灰头鸦雀,Paradoxornis gularis,LC 
淡绿贝鸟鹛,Pteruthius xanthochlorus,NT
三趾鸦雀,Paradoxornis paradoxus,NT 
栗喉贝鸟鹛,Pteruthius melanotis,DD
斑胸鸦雀,Paradoxornis flavirostris,DD 
栗额贝鸟鹛,Pteruthius aenobarbus,DD
点胸鸦雀,Paradoxornis guttaticollis,LC 
白头贝鸟鹛,Gampsorhynchus rufulus,LC
白眶鸦雀,Paradoxornis conspicillatus,NT 
栗额斑翅鹛,Actinodura egertoni,LC
棕头鸦雀,Paradoxornis webbianus,LC 
白眶斑翅鹛,Actinodura ramsayi,LC
灰喉鸦雀,Paradoxornis alphonsianus,LC 
纹头斑翅鹛,Actinodura nipalensis,LC
褐翅鸦雀,Paradoxornis brunneus,LC 
纹胸斑翅鹛,Actinodura waldeni,LC
暗色鸦雀,Paradoxornis zappeyi,VU
灰头斑翅鹛,Actinodura souliei,LC
灰冠鸦雀,Paradoxornis przewalskii,EN
台湾斑翅鹛,Actinodura morrisoniana,LC
黄额鸦雀,Paradoxornis fulvifrons,LC 
蓝翅希鹛,Minla cyanouroptera,LC
黑喉鸦雀,Paradoxornis nipalensis,DD 
斑喉希鹛,Minla strigula,LC
金色鸦雀,Paradoxornis verreauxi,NT 
红尾希鹛,Minla ignotincta,LC
短尾鸦雀,Paradoxornis davidianus,NT 
金胸雀鹛,Alcippe chrysotis,LC
黑眉鸦雀,Paradoxornis atrosuperciliaris,LC 
金额雀鹛,Alcippe variegaticeps,VU
红头鸦雀,Paradoxornis ruficeps,LC  
黄喉雀鹛,Alcippe cinerea,LC
震旦鸦雀,Paradoxornis heudei,NT 
栗头雀鹛,Alcippe castaneceps,LC
白眉雀鹛,Alcippe vinipectus,LC
棕扇尾莺,Cisticola juncidis,LC 
中华雀鹛,Alcippe striaticollis,LC
金头扇尾莺,Cisticola exilis,LC 
棕头雀鹛,Alcippe ruficapilla,LC
山鹛,Rhopophilus pekinensis,LC 
褐头雀鹛,Alcippe cinereiceps,LC
山鹪莺,Prinia crinigera,LC 
路氏雀鹛,Alcippe ludlowi,LC
褐山鹪莺,Prinia polychroa,LC 
棕喉雀鹛,Alcippe rufogularis,LC
黑喉山鹪莺,Prinia atrogularis,LC 
褐胁雀鹛,Alcippe dubia,LC
暗冕山鹪莺,Prinia rufescens,LC 
褐顶雀鹛,Alcippe brunnea,LC
灰胸山鹪莺,Prinia hodgsonii,LC 
褐脸雀鹛,Alcippe poioicephala,LC
黄腹山鹪莺,Prinia flaviventris,LC 
灰眶雀鹛,Alcippe morrisonia,LC
纯色山鹪莺,Prinia inornata,LC 
白眶雀鹛,Alcippe nipalensis,LC
栗背奇鹛,Heterophasia annectens,LC
栗头地莺,Tesia castaneocoronata,LC 
黑顶奇鹛,Heterophasia capistrata,LC
金冠地莺,Tesia olivea,LC 
灰奇鹛,Heterophasia gracilis,LC
灰腹地莺,Tesia cyaniventer,LC 
黑头奇鹛,Heterophasia melanoleuca,LC
鳞头树莺,Urosphena squameiceps,LC 
白耳奇鹛,Heterophasia auricularis,LC
远东树莺,Cettia canturians,LC 
丽色奇鹛,Heterophasia pulchella,LC
淡脚树莺,Cettia pallidipes,LC 
短翅树莺,Cettia diphone,LC
巨嘴柳莺,Phylloscopus schwarzi,LC 
强脚树莺,Cettia fortipes,LC
橙斑翅柳莺,Phylloscopus pulcher,LC 
大树莺,Cettia major,LC
灰喉柳莺,Phylloscopus maculipennis,LC 
异色树莺,Cettia flavolivacea,LC
淡黄腰柳莺,Phylloscopus chloronotus,LC 
黄腹树莺,Cettia acanthizoides,LC
四川柳莺,Phylloscopus forresti,LC 
棕顶树莺,Cettia brunnifrons,LC
黄腰柳莺,Phylloscopus proregulus,LC 
宽尾树莺,Cettia cetti,LC
甘肃柳莺,Phylloscopus kansuensis,LC 
斑胸短翅莺,Bradypterus thoracicus,LC
云南柳莺,Phylloscopus yunnanensis,LC 
巨嘴短翅莺,Bradypterus major,NT
黄眉柳莺,Phylloscopus inornatus,LC 
中华短翅莺,Bradypterus tacsanowskius,LC
淡眉柳莺,Phylloscopus humei,LC 
高山短翅莺,Bradypterus mandelli,LC
极北柳莺,Phylloscopus borealis,LC 
台湾短翅莺,Bradypterus alishanensis,LC
暗绿柳莺,Phylloscopus trochiloides,LC 
棕褐短翅莺,Bradypterus luteoventris,LC
双斑绿柳莺,Phylloscopus plumbeitarsus,LC 
矛斑蝗莺,Locustella lanceolata,NT
淡脚柳莺,Phylloscopus tenellipes,LC 
黑斑蝗莺,Locustella naevia,LC
萨岛柳莺,Phylloscopus borealoides,LC 
小蝗莺,Locustella certhiola,LC
乌嘴柳莺,Phylloscopus magnirostris,LC 
北蝗莺,Locustella ochotensis,LC
冕柳莺,Phylloscopus coronatus,LC 
东亚蝗莺,Locustella pleskei,VU
日本冕柳莺,Phylloscopus ijimae,NT 
鸲蝗莺,Locustella luscinioides,LC
冠纹柳莺,Phylloscopus reguloides,LC 
苍眉蝗莺,Locustella fasciolata,LC
海南柳莺,Phylloscopus hainanus,VU
蒲苇莺,Acrocephalus schoenobaenus,LC
峨眉柳莺,Phylloscopus emeiensis,LC 
细纹苇莺,Acrocephalus sorghophilus,EN
白斑尾柳莺,Phylloscopus davisoni,LC 
黑眉苇莺,Acrocephalus bistrigiceps,LC
黄胸柳莺,Phylloscopus cantator,LC 
稻田苇莺,Acrocephalus agricola,LC
灰岩柳莺,Phylloscopus calciatilis,NT 
远东苇莺,Acrocephalus tangorum,VU
黑眉柳莺,Phylloscopus ricketti,LC 
钝翅苇莺,Acrocephalus concinens,LC
金眶鹟莺,Seicercus burkii,LC 
芦莺,Acrocephalus scirpaceus,LC
灰冠鹟莺,Seicercus tephrocephalus,LC 
布氏苇莺,Acrocephalus dumetorum,LC
韦氏鹟莺,Seicercus whistleri,LC 
大苇莺,Acrocephalus arundinaceus,LC
比氏鹟莺,Seicercus valentini,LC 
东方大苇莺,Acrocephalus orientalis,LC
峨眉鹟莺,Seicercus omeiensis,LC 
噪苇莺,Acrocephalus stentoreus,LC
淡尾鹟莺,Seicercus soror,LC 
厚嘴苇莺,Acrocephalus aedon,LC
灰头鹟莺,Seicercus xanthoschistos,LC 
靴篱莺,Hippolais caligata,LC
白眶鹟莺,Seicercus affinis,LC 
赛氏篱莺,Hippolais rama,LC
灰脸鹟莺,Seicercus poliogenys,LC 
草绿篱莺,Hippolais pallida,LC
栗头鹟莺,Seicercus castaniceps,LC 
栗头缝叶莺,Orthotomus cucullatus,LC
棕脸鹟莺,Abroscopus albogularis,LC 
长尾缝叶莺,Orthotomus sutorius,LC
黄腹鹟莺,Abroscopus superciliaris,LC 
黑喉缝叶莺,Orthotomus atrogularis,LC
黑脸鹟莺,Abroscopus schisticeps,LC 
花彩雀莺,Leptopoecile sophiae,LC
宽嘴鹟莺,Tickellia hodgsoni,LC 
凤头雀莺,Leptopoecile elegans,NT
斑背大尾莺,Megalurus pryeri,NT 
欧柳莺,Phylloscopus trochilus,DD
沼泽大尾莺,Megalurus palustris,LC 
叽喳柳莺,Phylloscopus collybita,LC
大草莺,Graminicola bengalensis,NT 
东方叽喳柳莺,Phylloscopus sindianus,LC
灰白喉林莺,Sylvia communis,LC 
林柳莺,Phylloscopus sibilatrix,LC
白喉林莺,Sylvia curruca,LC 
褐柳莺,Phylloscopus fuscatus,LC
休氏白喉林莺,Sylvia althaea,LC 
烟柳莺,Phylloscopus fuligiventer,LC
漠白喉林莺,Sylvia minula,LC 
黄腹柳莺,Phylloscopus affinis,LC
荒漠林莺,Sylvia nana,LC 
棕腹柳莺,Phylloscopus subaffinis,LC
横斑林莺,Sylvia nisoria,LC 
灰柳莺,Phylloscopus griseolus,LC
棕眉柳莺,Phylloscopus armandii,LC
戴菊,Regulus regulus,LC 
台湾戴菊,Regulus goodfellowi,LC
丽,Sitta formosa,EN
红胁绣眼鸟,Zosterops erythropleurus,LC
红翅旋壁雀,Tichodroma muraria,LC 
灰腹绣眼鸟,Zosterops palpebrosus,LC
暗绿绣眼鸟,Zosterops japonicus,LC
欧亚旋木雀,Certhia familiaris,LC 
低地绣眼鸟,Zosterops meyeni,DD
四川旋木雀,Certhia tianquanensis,VU
高山旋木雀,Certhia himalayana,LC 
白冠攀雀,Remiz coronatus,LC
